STATE,Crime
ALABAMA,0.028
ALASKA,0.029
ARIZONA,0.017
ARKANSAS,0.040
CALIFORNIA,0.015
COLORADO,0.020
CONNECTICUT,0.016
DISTRICT OF COLUMBIA,0.027
FLORIDA,0.020
GEORGIA6,0.019
HAWAII,0.017
ILLINOIS,0.016
INDIANA,0.024
KANSAS,0.015
KENTUCKY,0.023
LOUISIANA,0.026
MARYLAND,0.031
MASSACHUSETTS,0.016
MICHIGAN,0.012
MINNESOTA,0.018
MISSISSIPPI,0.023
MISSOURI,0.030
MONTANA,0.026
NEBRASKA,0.017
NEVADA,0.019
NEW HAMPSHIRE,0.018
NEW JERSEY,0.011
NEW MEXICO,0.023
NEW YORK,0.015
NORTH CAROLINA8,0.017
NORTH DAKOTA,0.016
OHIO,0.027
OKLAHOMA,0.021
OREGON,0.021
PENNSYLVANIA,0.017
RHODE ISLAND,0.003
SOUTH CAROLINA,0.025
SOUTH DAKOTA,0.018
TENNESSEE,0.026
UTAH,0.030
VIRGINIA,0.016
WASHINGTON,0.028
WISCONSIN,0.016
